=0	=0	=0	=0	=0
2	.	.	.	1
8	.	.	.	6
16	1	4	You	5
16	0	.	could	6
16	1	.	have	4
16	0	.	it	6
8	1	.	your	5
=1	=1	=1	=1	=1
8	0	.	way	1
4.	.	.	.	6
16	1	3	How	5
16	0	.	do	6
16	0	.	you	4
16	1	.	want	6
16	0	.	it	5
16	.	.	.	6
16	1	3	you	3
16	0	.	gon'	6
=2	=2	=2	=2	=2
12	1	.	back	1
12	1	.	that	6
12	1	.	thing	5
16	1	.	up	6
16	0	.	or	4
16	1	.	should	6
16	0	.	I	5
16	1	.	push	6
8	0	.	up	3
16	1	.	on	6
16	0	.	it	5
16	1	3	tem-	6
16	0	.	-per-	4
16	0	.	-ature	6
=3	=3	=3	=3	=3
8	1	.	ri-	1
16	0	.	-sin'	6
8	1	3	O-	5
16	1	.	-K	6
16	.	.	.	4
16	0	2	let's	6
16	1	.	go	5
16	0	.	to	6
16	0	.	the	3
8	1	.	next	6
16	1	.	le-	5
8	0	.	-vel	6
=4	=4	=4	=4	=4
8	1	3	dance	1
8	1	.	floor	6
8	1	.	jam	5
8	1	.	packed	6
16	1	1	hot	4
16	0	.	as	6
16	0	.	a	5
8	1	.	tea	6
32	1	.	ke-	3
32	0	.	-ttle	6
16	.	.	.	5
16	0	4	I	6
=5	=5	=5	=5	=5
16	1	.	break	1
16	0	.	it	6
8	1	.	down	5
16	1	.	for	6
16	0	.	you	4
8	1	.	now	6
16	1	1	ba-	5
16	0	.	-by	6
16	0	.	it's	3
8	1	.	sim-	6
16	1	.	-ple	5
16	.	.	.	6
16	0	3	if	4
=6	=6	=6	=6	=6
8	1	.	you	1
16	1	.	be	6
16	0	.	a	5
8	1	.	nym-	6
16	0	.	-pho	4
16	.	.	.	6
16	1	1	I	5
16	0	.	be	6
16	0	.	a	3
8	1	.	nym-	6
8	0	.	-pho	5
16	.	.	.	6
=7	=7	=7	=7	=7
16	1	3	in	1
16	0	.	the	6
8	1	.	ho-	5
16	1	.	-tel	6
16	0	.	or	4
16	1	.	in	6
16	0	.	the	5
16	1	.	back	6
16	0	.	of	3
16	0	.	the	6
8	1	.	ren-	5
16	0	.	-tal	6
16	1	3	on	4
16	0	.	the	6
=8	=8	=8	=8	=8
16	1	.	beach	1
16	0	.	or	6
16	1	.	in	5
16	0	.	the	6
16	1	.	park	4
16	.	.	.	6
16	1	2	it's	5
16	0	.	what-	6
16	1	.	-e-	3
16	0	.	-ver	6
16	0	.	you	5
8	1	.	in-	6
16	0	.	-to	4
16	1	3	got	6
16	0	.	the	5
=9	=9	=9	=9	=9
8	1	.	ma-	1
8	0	.	-gic	6
16	1	.	stick	5
16	.	.	.	6
16	1	3	I'm	4
16	0	.	the	6
8.	1	.	love	5
8	1	.	doc-	6
16	0	.	-tor	3
16	.	.	.	6
32	1	3	have	5
32	0	.	your	6
=10	=10	=10	=10	=10
8	1	.	friends	1
16	1	.	tea-	6
16	0	.	-chin'	5
16	1	.	you	6
16	0	.	a-	4
8	1	.	-bout	6
8	1	.	strong	5
16	0	.	I	6
8	1	.	got	3
16	0	.	you	6
16	.	.	.	5
32	1	3	when	6
32	0	.	you	4
=11	=11	=11	=11	=11
16	1	.	show	1
16	0	.	me	6
16	1	.	what	5
16	0	.	you	6
16	1	.	work-	4
16	0	.	-in'	6
16	1	.	ba-	5
16	0	.	-by	6
8	.	.	.	3
16	0	3	no	6
16	1	.	pro-	5
16	0	.	-blem	6
16	1	3	get	4
16	0	.	on	6
16	1	.	top	5
=12	=12	=12	=12	=12
16	.	.	.	1
16	0	.	then	6
16	1	.	get	5
16	0	.	your	6
16	1	.	bounce	4
16	0	.	a-	6
8	1	.	-round	5
16	1	.	like	6
16	0	.	a	3
16	0	.	low	6
16	1	.	ri-	5
16	0	.	-der	6
16	.	.	.	4
16	1	4	I'm	6
16	0	.	a	5
=13	=13	=13	=13	=13
8	1	.	sea-	1
8	0	.	-soned	6
16	1	.	vet	5
16	.	.	.	6
16	1	1	when	4
16	0	.	it	6
16	1	.	come	5
16	0	.	to	6
16	0	.	this	3
16	1	.	shit	6
16	.	.	.	5
16	1	3	af-	6
16	0	.	-ter	4
16	0	.	you	6
=14	=14	=14	=14	=14
8	1	.	work	1
16	1	.	up	6
16	0	.	a	5
8	1	.	sweat	6
16	1	1	you	4
16	0	.	could	6
16	1	.	play	5
16	0	.	with	6
16	0	.	the	3
8	1	.	stick	6
16	.	.	.	5
16	0	3	I'm	6
8	1	.	tryin'	4
=15	=15	=15	=15	=15
16	1	.	to	1
16	0	.	ex-	6
8	1	.	-plain	5
16	1	.	ba-	6
16	0	.	-by	4
16	0	1	the	6
16	1	.	best	5
16	0	.	way	6
16	1	.	I	3
8	1	.	can	6
16	.	.	.	5
8	0	3	I	6
=16	=16	=16	=16	=16
8	1	.	melt	1
16	1	.	in	6
16	0	.	your	5
8	1	.	mouth	6
8	1	.	girl	4
16	1	1	not	6
16	0	.	in	5
16	0	.	your	6
8	1	.	hand	3
16	.	.	.	6
16	1	.	uh	5
16	1	.	huh	6
=1	=1	=1	=1	=1
16	1	4	give	1
16	0	.	it	6
16	1	.	to	5
16	0	.	me	6
8	1	.	ba-	4
16	0	.	-by	6
16	.	.	.	5
8	1	3	nice	6
16	0	.	and	3
8	1	.	slow	6
16	0	3	climb	5
8	1	.	on	6
=2	=2	=2	=2	=2
8	1	.	top	1
8	1	2	ride	6
16	1	.	like	5
16	0	.	you	6
16	1	.	in	4
16	0	.	a	6
8	1	.	ro-	5
16	0	.	-de-	6
8	1	.	-o	3
16	.	.	.	6
16	1	3	you	5
16	0	.	ain't	6
=3	=3	=3	=3	=3
16	1	.	ne-	1
16	0	.	-ver	6
16	1	.	heard	5
16	0	.	a	6
8	1	.	sound	4
8	0	.	like	6
8	1	.	this	5
16	0	.	be-	6
16	1	.	-fore	3
16	.	.	.	6
16	0	3	cuz	5
16	1	.	I	6
16	0	.	ain't	4
=4	=4	=4	=4	=4
16	1	.	ne-	1
16	0	.	-ver	6
16	1	.	put	5
16	0	.	it	6
8	1	.	down	4
8	0	.	like	6
16	1	.	this	5
16	1	4	soon	6
16	0	.	as	3
16	0	.	I	6
8	1	.	come	5
16	1	.	through	6
16	0	.	the	4
=5	=5	=5	=5	=5
16	1	.	door	1
16	0	1	she	6
16	1	.	get	5
16	0	.	to	6
16	1	.	pu-	4
16	0	.	-llin'	6
16	1	.	on	5
16	0	.	my	6
16	1	.	zi-	3
16	0	.	-pper	6
16	.	.	.	5
16	0	3	it's	6
16	1	.	like	4
16	0	.	it's	6
16	0	.	a	5
8	1	.	race	6
=6	=6	=6	=6	=6
16	0	1	who	1
16	1	.	can	6
16	0	.	get	5
8	1	.	un-	6
8	1	.	-dressed	4
16	1	.	qui-	6
16	0	.	-cker	5
8	.	.	.	6
16	1	3	is-	3
16	0	.	-n't	6
16	1	.	it	5
16	0	.	i-	6
=7	=7	=7	=7	=7
16	1	.	-ro-	1
16	0	.	-nic	6
16	1	1	how	5
16	0	.	e-	6
16	1	.	-ro-	4
16	0	.	-tic	6
16	1	.	it	5
16	0	.	is	6
16	0	1	to	3
16	1	.	watch	6
16	0	.	her	5
16	0	.	in	6
8	1	.	thongs	4
8	.	.	.	6
=8	=8	=8	=8	=8
16	0	3	had	1
16	0	.	me	6
16	1	.	think-	5
16	0	.	-in'	6
16	1	.	'bout	4
16	0	.	that	6
8	1	.	ass	5
16	1	.	af-	6
16	0	.	-ter	3
16	0	.	I'm	6
8	1	.	gone	5
16	0	3	I	6
16	1	.	touched	4
16	0	.	the	6
=9	=9	=9	=9	=9
8	1	.	right	1
8	1	.	spot	6
16	1	1	at	5
16	0	.	the	6
8	1	.	right	4
8	1	.	time	6
16	.	.	.	5
8	1	3	lights	6
8	1	.	on	3
16	0	.	or	6
=10	=10	=10	=10	=10
8	1	.	lights	1
16	1	.	off	6
16	0	1	she	5
16	1	.	like	6
16	0	.	it	4
16	1	.	from	6
16	0	.	be-	5
8	1	.	-hind	6
8	.	.	.	3
8	1	3	so	6
16	0	.	se-	5
8	1	.	-duc-	6
=11	=11	=11	=11	=11
16	0	.	-tive	1
16	1	1	you	6
16	0	.	should	5
16	1	.	see	6
16	0	.	the	4
16	1	.	way	6
16	0	.	she	5
8	1	.	whine	6
16	.	.	.	3
16	0	3	her	6
8	1	.	hips	5
16	0	.	in	6
8	1	.	slow	4
=12	=12	=12	=12	=12
16	0	.	mo	1
16	1	1	on	6
16	0	.	the	5
8	1	.	floor	6
16	1	.	when	4
16	0	.	we	6
8.	1	.	grind	5
16	.	.	.	6
8	1	3	no	3
16	1	.	she	6
8	0	.	ain't	5
=13	=13	=13	=13	=13
16	1	.	sto-	1
16	0	.	-ppin'	6
16	1	3	ho-	5
16	0	.	-mie	6
16	1	.	I	4
8	0	.	ain't	6
16	1	.	sto-	5
16	0	.	-ppin'	6
16	.	.	.	3
16	1	3	dri-	6
16	0	.	-ppin'	5
8	1	.	wet	6
16	0	.	with	4
=14	=14	=14	=14	=14
8	1	.	sweat	1
16	1	2	man	6
16	0	.	it's	5
8	1	.	on	6
8	0	.	and	4
16	1	.	po-	6
16	0	.	-pping	5
16	1	3	all	6
16	0	.	my	3
16.	1	.	cham-	6
16.	1	.	-pagne	5
16.	1	.	cam-	6
=15	=15	=15	=15	=15
16.	1	.	-paign	1
8	.	.	.	6
16	1	3	bo-	5
16	0	.	-ttle	6
16	1	.	af-	4
16	0	.	-ter	6
16	1	.	bo-	5
16	0	.	-ttle	6
16	0	.	it's	3
8	1	.	on	6
16	0	3	and	5
16	1	.	we	6
16	0	.	gonna	4
=16	=16	=16	=16	=16
16	1	.	sip	1
16	0	.	'til	6
16	1	.	e-	5
16	0	.	-very	6
16	1	.	bu-	4
16	0	.	-bble	6
16	1	.	e-	5
16	0	.	-very	6
16	1	.	bo-	3
16	0	.	-ttle	6
16	0	.	is	5
8.	1	.	gone	6
8	.	.	.	4
!!!OTL:Candy Shop
!!!RTL:the Massacre
!!!RRD:2005/01/15|2005/02/08
!!!RRM:Shady, Aftermath
!!!RC#:004092
!!!BPP:1
!!!BPD:2005/03/05
!!!COC:50 Cent
!!!COL:50 Cent
!!!COM:Curtis James Jackson III
!!!CDT:1975/07/06->2016/01/
!!!ENC:Nathaniel Condit-Schultz
!!!EED:Nathaniel Condit-Schultz
!!!RDT:2014/-2016/
!!!EST:In progress
=0	=0	=0	=0	=0
2..	.	.	.	1
8	1	4	Go	6
=1	=1	=1	=1	=1
8	.	.	.	1
8	1	.	go	6
8	.	.	.	5
8	1	.	go	6
16	1	3	Fif-	4
16	0	.	-ty	6
16	1	.	in	5
16	0	.	the	6
8.	1	.	house	3
8	1	1	Bounce	6
=2	=2	=2	=2	=2
8.	.	.	.	1
16	1	3	y'all	6
16	0	.	al-	5
16	1	.	-rea-	6
16	0	.	-dy	4
16	1	.	know	6
16	0	.	what	5
16	1	.	I'm	6
16	0	.	a-	3
8	1	.	-bout	6
16	.	.	.	5
16	0	3	The	6
=3	=3	=3	=3	=3
8	1	.	flow	1
8	1	.	sound	6
16	1	.	sick-	5
16	0	.	-er	6
16	1	.	o-	4
16	0	.	-ver	6
8	1	1	Dre	5
8	1	.	drums	6
16	1	.	ni-	3
16	0	.	-gga	6
16	1	3	I	5
16	0	.	ain't	6
=4	=4	=4	=4	=4
16	1	.	stu-	1
16	0	.	-pid	6
16	1	.	I	5
16	0	.	see	6
8	1	.	Doc	4
16	.	.	.	6
32	1	1	then	5
32	0	.	my	6
8	1	.	doe	3
8	1	.	come	6
16	1	.	qui-	5
16	0	.	-cker	6
8	.	.	whoa!	4
=5	=5	=5	=5	=5
8	.	.	.	1
16	1	4	Shor-	6
16	0	.	-ty	5
8	1	.	hips	6
16	0	.	is	4
8	1	.	hyp-	6
16	1	.	-no-	5
16	0	.	-tic	6
16	0	3	she	3
8	1	.	moves	6
16	0	.	it's	5
16	1	.	so	6
=6	=6	=6	=6	=6
16	0	.	e-	1
16	1	.	-ro-	6
16	0	.	-tic	5
16	0	3	Girl	6
16	1	.	watch	4
8	1	.	I'm	6
16	0	.	like	5
8	1	.	bounce	6
16	0	.	that	3
8.	1	.	ass	6
8	1	.	girl	5
=7	=7	=7	=7	=7
16	.	.	.	1
16	0	4	I	6
16	1	.	get	5
16	0	.	it	6
8	1	.	crunk	4
16	0	.	in	6
16	1	.	here	5
16	.	.	.	6
16	0	3	I	3
16	1	.	make	6
16	0	.	it	5
8	1	.	jump	6
16	0	.	in	4
8	1	.	here	6
=8	=8	=8	=8	=8
8	1	3	Front	1
16	0	.	in	6
8	1	.	here	5
8	1	2	we'll	6
8	1	.	thump	4
16	0	.	in	6
8.	1	.	here	5
8	.	.	ohh!	6
=9	=9	=9	=9	=9
8	.	.	.	1
8	1	4	So	6
16	1	.	gu-	5
16	0	.	-tter	6
8	1	2	so	4
16	1	.	ghe-	6
16	0	.	-tto	5
8	1	2	so	6
4	1	.	hood	3
=10	=10	=10	=10	=10
8	.	.	.	1
8	1	3	So	6
16	1	.	gu-	5
16	0	.	-lly	6
8	1	2	so	4
16	1	.	gri-	6
16	0	.	-mey	5
8	1	2	what's	6
4	1	.	good	3
=11	=11	=11	=11	=11
16	.	.	.	1
16	0	4	Out-	6
16	1	.	-side	5
16	0	.	the	6
16	1	.	Benz	4
8	0	.	on	6
8	1	.	dubs	5
16	0	3	I'm	6
16	1	.	in	3
16	0	.	the	6
16	1	.	club	5
16	0	.	wit	6
16	0	.	the	4
8	1	.	snub	6
=12	=12	=12	=12	=12
16	0	3	Don't	1
8	1	.	start	6
16	1	.	no-	5
16	0	.	-thin'	6
16	1	2	there	4
16	0	.	won't	6
16	1	.	be	5
16	0	.	no-	6
16	0	.	-thin'	3
8.	1	.	uhh!	6
8	.	.	.	5
=0	=0	=0	=0	=0
2..	.	.	.	1
8	0	4	Let's	6
=1	=1	=1	=1	=1
8.	1	.	par-	1
16	0	.	-ty	6
16	1	4	E-	5
16	0	.	-very-	6
16	1	.	-bo-	4
16	0	.	-dy	6
8.	1	.	stand	5
16	1	.	up	6
4	.	.	.	3
=2	=2	=2	=2	=2
8	.	.	.	1
16	1	3	E-	6
16	0	.	-very-	5
16	1	.	-bo-	6
16	0	.	-dy	4
16	1	.	put	6
16	0	.	your	5
8.	1	.	hands	6
16	1	.	up	3
8	.	.	.	6
8	0	4	Let's	5
=3	=3	=3	=3	=3
8.	1	.	par-	1
16	0	.	-ty	6
16	1	4	E-	5
16	0	.	-very-	6
16	1	.	-bo-	4
16	0	.	-dy	6
8	1	.	bounce	5
16	0	.	wit	6
8	1	.	me	3
16	.	.	.	6
16	0	3	Some	5
8	1	.	cham-	6
=4	=4	=4	=4	=4
8	1	.	-pagne	1
16	0	1	and	6
16	1	.	burn	5
16	0	.	a	6
16	1	.	li-	4
16	0	.	-ttle	6
8	1	.	gree-	5
16	0	.	-ner-	6
16	1	.	-y	3
8	.	.	.	6
8	0	3	It's	5
=5	=5	=5	=5	=5
8	1	.	hot!	1
8	.	.	.	6
8.	.	.	.	5
8	1	4	Dis-	6
8	1	.	-co	4
16	0	.	in-	6
8	1	.	-fer-	5
8	1	.	-no	6
=6	=6	=6	=6	=6
8	1	3	Let's	1
8	1	.	go!	6
16	.	.	.	5
16	0	3	You're	6
8	1	.	now	4
16	1	.	ro-	6
16	0	.	-ckin'	5
16	1	.	wit	6
16	0	.	a	3
16	1	.	pro	6
16	.	.	.	5
16	0	4	I	6
8	1	.	get	4
=7	=7	=7	=7	=7
8	1	.	dough	1
16	0	2	to	6
8	1	.	flip	5
16	1	.	dough	6
16	0	2	to	4
8	1	.	get	6
8	1	.	more	5
16	0	.	fuh	6
8	1	.	sho'	3
16	.	.	.	6
=8	=8	=8	=8	=8
16	1	3	Get	1
16	0	.	my	6
8	1	.	drink	5
8	1	.	on	6
16	1	1	then	4
16	0	.	get	6
16	1	.	on	5
16	0	.	the	6
8	1	.	dance	3
8	1	.	floor	6
8	0	4	Look	5
=9	=9	=9	=9	=9
16	1	.	ho-	1
16	0	.	-mie	6
16	1	.	I	5
16	0	.	don't	6
8	1	.	dance	4
16	1	1	all	6
16	0	.	I	5
16	1	.	do	6
16	0	.	is	3
8	1	.	this	6
8	.	.	.	5
16	1	3	It's	6
16	0	.	the	4
=10	=10	=10	=10	=10
8	1	.	same	1
8	1	.	two	6
8	1	.	step	5
16	1	.	wit	6
16	0	.	a	4
8	1	.	lil	6
8	1	.	twist	5
8	.	.	.	6
16	1	3	Li-	3
16	0	.	-sten	6
=11	=11	=11	=11	=11
8	1	.	punk	1
16	1	.	I	6
16	0	.	ain't	5
16	1	.	new	6
16	0	.	to	4
16	1	.	this	6
16	0	1	I'm	5
16	1	.	true	6
16	0	.	to	3
8	1	.	this	6
8	.	.	.	5
16	1	3	Pay	6
16	0	.	a-	4
=12	=12	=12	=12	=12
16	1	.	-tten-	1
16	0	.	-tion	6
16	1	.	boy	5
16	0	1	I'll	6
16	1	.	teach	4
16	0	.	you	6
16	1	.	how	5
16	0	.	to	6
16	1	.	do	3
16	0	.	this	6
16	1	.	shit	5
16	0	3	You	6
16	1	.	mix	4
16	0	.	a	6
16	1	.	li-	5
16	0	.	-ttle	6
=13	=13	=13	=13	=13
8	1	.	Goose	1
16	1	.	wit	6
16	0	.	a	5
16	1	.	li-	6
16	0	.	-ttle	4
8	1	.	Dom	6
16	1	.	Per-	5
16	0	.	-ig-	6
8	1	.	-non	3
16	1	3	And	6
16	0	.	a	5
16	1	.	li-	6
16	0	.	-ttle	4
=14	=14	=14	=14	=14
16	1	.	He-	1
16	0	.	-nne-	6
16	1	.	-ssy	5
16	0	.	you	6
16	1	.	know	4
16	0	.	we	6
16	1	.	fin	5
16	0	.	to	6
16	1	.	ca-	3
16	0	.	-rry	6
8	1	.	on	5
16	1	3	ha-	6
16	0	.	-llin'	4
