=1	=1	=1	=1	=1
16	.	.	.	1
16	0	4	I	6
16	1	.	tell	5
16	0	.	a	6
8	1	.	bad	4
8	1	.	bitch	6
16	1	2	do	5
16	0	.	what-	6
16	1	.	-e-	3
16	0	.	-ver	6
8	1	.	I	5
8.	1	.	say	6
=2	=2	=2	=2	=2
16	0	3	My	1
16	1	.	block	6
16	0	.	be-	5
16	1	.	-hind	6
16	0	.	me	4
16	1	.	like	6
16	0	.	Im	5
16	1	.	co-	6
16	0	.	-min'	3
16	1	.	out	6
16	0	.	the	5
8	1	.	drive-	6
8.	1	.	-way	4
=3	=3	=3	=3	=3
16	0	3	Its	1
8	1	.	grind	6
16	0	.	day	5
16	0	.	from	6
8	1	.	Fri-	4
16	0	.	-day	6
16	0	.	to	5
8	1	.	next	6
8	1	.	Fri-	3
8	0	.	-day	6
=4	=4	=4	=4	=4
16	1	3	I	1
16	0	.	been	6
8	1	.	up	5
16	1	.	straight	6
16	0	.	for	4
8	1	.	nine	6
16	0	.	days	5
16	0	2	I	6
16	1	.	need	3
16	0	.	a	6
8	1	.	spa	5
8	0	.	day-	6
=5	=5	=5	=5	=5
8	.	.	.	1
8	1	0	yup	6
8.	.	.	.	5
16	0	4	She	6
16	1	.	try	4
32	0	.	in	6
16	1	.	get	5
32	0	.	me	6
16	1	.	that	3
16.	1	.	poo	6
16.	1	.	tang	5
16	0	3	I	6
=6	=6	=6	=6	=6
16.	1	.	might	1
16.	1	.	let	6
16	0	.	my	5
16.	1	.	crew	6
16.	1	.	bang	4
16	0	3	My	6
16.	1	.	crew	5
16	1	.	dee-	6
32	0	.	-per	3
16	1	.	than	6
16.	1	.	Wu	5
16.	1	.	Tang	6
16	0	3	I'm	4
=7	=7	=7	=7	=7
16	1	.	ro-	1
32	0	.	-llin'	6
16.	1	.	with	5
8	1	.	Huh	6
16	1	.	fuck	4
16	0	.	Im	6
32	1	.	say-	5
16	0	.	-in'	6
16	1	2	Girl	3
32	0	.	you	6
16	1	.	know	5
16	0	.	my	6
16.	1	.	crew	4
16.	1	.	name	6
32	1	3	You	5
32	0	.	know	6
=8	=8	=8	=8	=8
16.	1	.	2	1
16.	1	.	Chains?	6
16	.	.	.	5
8.	1	.	Scrr!	6
16	0	3	Im	4
16	1	.	pull-	6
32	0	.	-in'	5
16	1	.	up	6
32	0	.	in	3
16	1	.	that	6
16.	1	.	Bruce	5
16	1	.	Wayne	6
32	0	3	But	4
16	1	.	Im	6
=9	=9	=9	=9	=9
16	0	.	the	1
16	1	.	fu-	6
16	0	.	-ckin'	5
16	1	.	vi-	6
16	0	.	-llain	4
16	1	3	man	6
16	0	.	they	5
16	1	.	knee-	6
16	0	.	-lin'	3
16	1	3	when	6
16	0	.	I	5
16	1	.	wal-	6
16	0	.	-kin'	4
16	1	.	in	6
16	0	.	the	5
16	1	.	buil-	6
=10	=10	=10	=10	=10
16	0	.	-din'	1
