=3	=3	=3	=3	=3
8	1	3	ne-	2.58496
8	1	.	-ver	7.58496
8.	.	.	.	6.58496
16	0	.	for-	7.58496
16	1	.	-get	5.58496
16	0	.	where	7.58496
8	1	.	I	6.58496
8	1	.	came	7.58496
8	1	.	from	4.58496
=4	=4	=4	=4	=4
8	1	3	don't	2.58496
16	1	.	lose	7.58496
16	0	.	your	6.58496
8	1	.	head	7.58496
16	.	.	.	5.58496
8	1	.	heh	7.58496
16	0	.	cause	6.58496
16	1	.	you	7.58496
16	0	.	can	4.58496
8	1	.	get	7.58496
8	1	.	dumb	6.58496
=5	=5	=5	=5	=5
8	1	4	do	2.58496
8	0	.	it	7.58496
8	.	.	.	6.58496
16	1	.	is	7.58496
16	0	.	my	5.58496
16	1	.	mo-	7.58496
16	0	.	-tto	6.58496
16	1	.	for	7.58496
16	0	.	the	4.58496
8	1	.	mo-	7.58496
8	0	.	-ment	6.58496
=6	=6	=6	=6	=6
16	1	3	get	2.58496
16	0	.	in	7.58496
16	0	.	my	6.58496
8	1	.	way	7.58496
16	0	.	i'll	5.58496
16	1	.	knock	7.58496
16	0	.	you	6.58496
16	1	.	out	7.58496
16	0	.	like	4.58496
16	1	.	my	7.58496
16	0	.	o-	6.58496
8	1	.	-ppo-	7.58496
8	0	.	-nent	5.58496
=7	=7	=7	=7	=7
16	1	3	in	2.58496
8	0	.	this	7.58496
8	1	.	life	6.58496
8	1	.	it's	7.58496
8	1	.	one	5.58496
16	0	.	for	7.58496
4	1	.	all	6.58496
8	.	.	.	7.58496
=8	=8	=8	=8	=8
8	1	3	all	2.58496
16	0	.	for	7.58496
8	1	.	one	6.58496
16	1	.	and	7.58496
16	0	.	a-	5.58496
8	1	.	-llow	7.58496
8	1	.	no	6.58496
8	1	.	down-	7.58496
8.	1	.	-fall	4.58496
=9	=9	=9	=9	=9
8	1	4	punks	2.58496
4.	.	.	.	7.58496
16	1	.	al-	6.58496
16	0	.	-ways	7.58496
16	1	.	wa-	5.58496
16	0	.	-nna	7.58496
8	1	.	get	6.58496
8	1	.	some	7.58496
=10	=10	=10	=10	=10
8	.	.	.	2.58496
8	1	3	pick	7.58496
16	1	.	po-	6.58496
8	0	.	-ckets	7.58496
16	0	.	and	5.58496
16	1	.	then	7.58496
16	0	.	they	6.58496
16	1	.	try	7.58496
16	0	.	to	4.58496
8	1	.	play	7.58496
8	1	.	dumb	6.58496
=11	=11	=11	=11	=11
8	1	3	yo	2.58496
4.	.	.	.	7.58496
16	1	.	take	6.58496
16	0	.	it	7.58496
16	1	.	from	5.58496
16	0	.	the	7.58496
8	1	.	ice	6.58496
8	1	.	man	7.58496
=12	=12	=12	=12	=12
16	1	3	lyr-	2.58496
16	0	.	-i-	7.58496
16	0	.	-cal	6.58496
16	1	.	po-	7.58496
8	0	.	-et	5.58496
16	1	.	with	7.58496
16	0	.	a	6.58496
8	1	.	mas-	7.58496
16	0	.	-ter	4.58496
8.	1	.	plan	7.58496
8	.	.	.	6.58496
=13	=13	=13	=13	=13
24	1	3	te-	2.58496
24	0	.	-llin'	7.58496
24	0	.	you	6.58496
16	1	.	how	7.58496
16	0	.	it	5.58496
8	1	.	is	7.58496
8	0	.	in	6.58496
8	1	.	show	7.58496
8	0	.	biz	4.58496
4	.	.	.	7.58496
=14	=14	=14	=14	=14
16	.	.	.	2.58496
16	0	3	a	7.58496
8	1	.	white	6.58496
16	1	.	ra-	7.58496
16	0	.	-pper	5.58496
16	1	.	with	7.58496
16	0	.	some	6.58496
8	1	.	street	7.58496
16	1	.	know-	4.58496
8.	0	.	-ledge	7.58496
8	.	.	.	6.58496
=15	=15	=15	=15	=15
16	1	3	I	2.58496
8	0	.	write	7.58496
16	0	.	the	6.58496
8	1	.	rhyme	7.58496
16	0	.	for	5.58496
8.	1	.	you	7.58496
4.	.	.	.	6.58496
=16	=16	=16	=16	=16
8	1	3	drop	2.58496
8	0	.	this	7.58496
8	1	.	one	6.58496
16	1	.	for	7.58496
16	0	.	the	5.58496
16	1	.	V	7.58496
