=1	=1	=1	=1	=1
8	1	4	sweat	2.58496
8	.	.	.	7.58496
16	1	.	ru-	6.58496
16	0	.	-nnin'	7.58496
8	1	.	all	5.58496
16	1	.	o-	7.58496
16	0	.	-ver	6.58496
8	1	.	my	7.58496
8.	1	.	chest	4.58496
16	.	.	.	7.58496
=2	=2	=2	=2	=2
16	.	.	.	2.58496
16	0	3	I	7.58496
8	1	.	don't	6.58496
8	1	.	quit	7.58496
8	1	.	no	5.58496
16	.	.	.	7.58496
16	0	3	I	6.58496
8	1	.	just	7.58496
8	1	.	press	4.58496
8	.	.	.	7.58496
=3	=3	=3	=3	=3
8	1	3	har-	2.58496
8	0	.	-der	7.58496
8	.	.	.	6.58496
16	1	3	than	7.58496
16	0	.	I	5.58496
16	1	.	e-	7.58496
16	0	.	-ver	6.58496
16	1	.	did	7.58496
16	0	.	be-	4.58496
8.	1	.	-fore	7.58496
16	.	.	.	6.58496
=4	=4	=4	=4	=4
16	1	3	go-	2.58496
16	0	.	-in'	7.58496
16	1	.	for	6.58496
16	0	.	the	7.58496
8	1	.	dreams	5.58496
16	1	.	that	7.58496
16	0	.	I	6.58496
8	1	.	have	7.58496
8	1	.	in	4.58496
16	1	.	store	7.58496
16	0	3	in	6.58496
8	1	.	my	7.58496
=5	=5	=5	=5	=5
8	1	.	mind	2.58496
4	.	.	.	7.58496
16	1	3	and	6.58496
16	0	.	I	7.58496
16	1	.	know	5.58496
16	0	.	that	7.58496
8	1	.	I'm	6.58496
16	1	.	ma-	7.58496
16	0	.	-kin'	4.58496
16.	1	.	it	7.58496
32	0	3	I	6.58496
=6	=6	=6	=6	=6
16	1	.	go-	2.58496
16	0	.	-tta	7.58496
8	1	.	get	6.58496
16	1	.	mine	7.58496
16	0	.	and	5.58496
8	1	.	no-	7.58496
8	1	.	-bo-	6.58496
8	0	.	-dy's	7.58496
16	1	.	ta-	4.58496
16	0	.	-kin'	7.58496
16	1	.	it	6.58496
16	0	.	a-	7.58496
=7	=7	=7	=7	=7
8	1	.	-way	2.58496
8	.	.	.	7.58496
8.	.	.	.	6.58496
16	0	3	'cause	7.58496
16	1	.	ha-	5.58496
16	0	.	-mmer	7.58496
8	1	.	don't	6.58496
8	1	.	play	7.58496
16	1	.	that	4.58496
16	0	3	you	7.58496
=8	=8	=8	=8	=8
16	1	.	try	2.58496
16	0	.	to	7.58496
8	1	.	get	6.58496
8	1	.	mine	7.58496
8	1	.	boy	5.58496
16	.	.	.	7.58496
16	0	.	you	6.58496
16	1	.	be-	7.58496
16	0	.	-tter	4.58496
8	1	.	step	7.58496
8	1	.	back	6.58496
=9	=9	=9	=9	=9
