=1	=1	=1	=1	=1
8	1	4	Got	2.58496
8	0	.	this	7.58496
8	1	.	dance	6.58496
8	0	.	that's	7.58496
16	1	.	more	5.58496
8	0	.	than	7.58496
16%5	1	.	real.	6.58496
=2	=2	=2	=2	=2
8	1	3	Drink	2.58496
8	0	.	brass	7.58496
16	1	.	mon-	6.58496
16	0	.	-key	7.58496
8	1	.	here's	5.58496
8	1	.	how	7.58496
16	0	.	you	6.58496
8	1	.	feel.	7.58496
16	0	3	You	4.58496
16	1	.	put	7.58496
16	0	.	your	6.58496
=3	=3	=3	=3	=3
8	1	.	left	2.58496
8	0	.	leg	7.58496
8.	1	.	down,	6.58496
16	0	3	your	7.58496
8	1	.	right	5.58496
8	0	.	leg	7.58496
4	1	.	up;	6.58496
=4	=4	=4	=4	=4
16	1	3	Tilt	2.58496
16	0	.	your	7.58496
8	1	.	head	6.58496
8	1	.	back;	7.58496
8	1	.	let's	5.58496
16	1	.	fi-	7.58496
16	0	.	-nish	6.58496
16	0	.	the	7.58496
8	1	.	cup.	4.58496
8	1	4	M	7.58496
16	0	.	C	6.58496
=5	=5	=5	=5	=5
8	1	.	A	2.58496
16	1	.	with	7.58496
16	0	.	the	6.58496
16	1	.	bo-	7.58496
8.	0	.	-ttle	5.58496
16	1	3	D	7.58496
8	0	.	rocks	6.58496
16	0	.	the	7.58496
8	1	.	can.	4.58496
8	0	3	Ad-	7.58496
=6	=6	=6	=6	=6
8	1	.	-Rock	2.58496
8	0	.	gets	7.58496
8	1	.	nice	6.58496
8	0	.	with	7.58496
8	1	.	Char-	5.58496
8	0	.	-lie	7.58496
8	1	.	Chan.	6.58496
16	0	3	We're	7.58496
8	1	.	o-	4.58496
=7	=7	=7	=7	=7
16	0	.	-ffered	2.58496
8	1	.	Mo-	7.58496
8	1	.	-et	6.58496
16	0	3	we	7.58496
8	1	.	don't	5.58496
8.	1	.	mind	7.58496
16	1	.	Chi-	6.58496
8	0	.	-vas	7.58496
16	0	3	Where-	4.58496
=8	=8	=8	=8	=8
16	1	.	-e-	2.58496
16	0	.	-ver	7.58496
16	0	.	we	6.58496
8	1	.	go	7.58496
16	0	.	we	5.58496
16	1	.	bring	7.58496
16	0	.	the	6.58496
8	1	.	Mon-	7.58496
8	1	.	-key	4.58496
16	1	.	with	7.58496
16	0	.	us.	6.58496
8	1	4	Ad-	7.58496
=9	=9	=9	=9	=9
8	1	.	-Rock	2.58496
8	0	.	drinks	7.58496
8	1	.	three;	6.58496
8	0	3	Mike	7.58496
16	1	.	D	5.58496
8	0	.	is	7.58496
8.	1	.	D;	6.58496
16	1	3	Dou-	7.58496
16	0	.	-ble	4.58496
=10	=10	=10	=10	=10
8	1	.	R	2.58496
16	1	.	foots	7.58496
16	0	.	the	6.58496
8	1	.	bill	7.58496
8	1	1	most	5.58496
16	1	.	de-	7.58496
16	0	.	-fi-	6.58496
16	0	.	-ni-	7.58496
8.	1	.	-tely	4.58496
8	0	4	I	7.58496
=11	=11	=11	=11	=11
8	1	.	drink	2.58496
