=0	=0	=0	=0	=0
8%5	.	.	.	2.58496
8	1	4	I	7.58496
16	1	.	am	6.58496
8	0	.	a	7.58496
8	1	.	night-	5.58496
=1	=1	=1	=1	=1
16	.	.	.	2.58496
8	1	.	-mare	7.58496
16	1	.	wal-	6.58496
8	0	.	-kin'.	7.58496
16	.	.	.	5.58496
16	1	3	Psy-	7.58496
16	0	.	-cho-	6.58496
8	1	.	-path	7.58496
8	1	.	tal-	4.58496
8	0	.	-kin'.	7.58496
=2	=2	=2	=2	=2
16	.	.	.	2.58496
16	1	3	King	7.58496
16	0	.	of	6.58496
16	0	.	my	7.58496
16	1	.	jun-	5.58496
16	0	.	-gle	7.58496
16	1	1	just	6.58496
16	0	.	a	7.58496
8	1	.	gang-	4.58496
8	0	.	-ster	7.58496
16	1	.	stal-	6.58496
16	0	.	-kin'.	7.58496
16	1	3	Li-	5.58496
16	0	.	-vin'	7.58496
=3	=3	=3	=3	=3
8	1	.	life	2.58496
16	1	.	like	7.58496
16	0	.	a	6.58496
16	1	.	fi-	7.58496
16	0	.	-re-	5.58496
16	1	.	-cra-	7.58496
16	0	.	-cker.	6.58496
16	1	3	;Quick	7.58496
16	0	.	is	4.58496
16	0	.	my	7.58496
8.	1	.	fuse.	6.58496
16	.	.	.	7.58496
16	0	3	Then	5.58496
=4	=4	=4	=4	=4
16	1	.	dead	2.58496
16	0	.	as	7.58496
16	0	.	a	6.58496
8	1	.	death	7.58496
8	1	.	pack	5.58496
16	0	1	the	7.58496
16	1	.	co-	6.58496
16	0	.	-lors	7.58496
16	0	.	I	4.58496
8.	1	.	choose.	7.58496
16	1	3	Red	6.58496
16	0	.	or	7.58496
=5	=5	=5	=5	=5
8	1	.	Blue	2.58496
16	1	1	Cuz	7.58496
16	0	.	or	6.58496
8	1	.	Blood	7.58496
16	.	.	.	5.58496
16	0	3	it	7.58496
8	1	.	just	6.58496
8	1	.	don't	7.58496
16	1	.	ma-	4.58496
16	0	.	-tter.	7.58496
16	1	3	Su-	6.58496
16	0	.	-cker	7.58496
=6	=6	=6	=6	=6
8	1	.	die	2.58496
16	1	.	for	7.58496
16	0	.	your	6.58496
8	1	.	life	7.58496
16	1	1	when	5.58496
16	0	.	my	7.58496
8	1	.	shot-	6.58496
8	0	.	-gun	7.58496
16	1	.	sca-	4.58496
8.	0	.	-tters.	7.58496
=7	=7	=7	=7	=7
16	.	.	.	2.58496
16	0	3	We	7.58496
16	1	.	gangs	6.58496
16	0	.	of	7.58496
16	1	.	L	5.58496
8	0	.	A	7.58496
16	0	1	will	6.58496
16	1	.	ne-	7.58496
16	0	.	-ver	4.58496
4	1	.	die.	7.58496
8	.	.	.	6.58496
=8	=8	=8	=8	=8
4.	.	.	.	2.58496
8	1	3	Just	7.58496
16	1	.	mul-	6.58496
16	0	.	-ti-	7.58496
8	1	.	-ply.	5.58496
4	.	.	.	7.58496
=0	=0	=0	=0	=0
2.	.	.	.	2.58496
16	.	.	.	7.58496
16	0	4	You	6.58496
8	1	.	don't	7.58496
=1	=1	=1	=1	=1
8	1	.	know	2.58496
8	1	.	me	7.58496
8.	.	.	.	6.58496
8.	1	1	fool;	7.58496
8.	.	.	.	5.58496
16	0	3	You	7.58496
8	1	.	dis-	6.58496
=2	=2	=2	=2	=2
8	1	.	-own	2.58496
8	1	.	me	7.58496
8.	.	.	.	6.58496
8.	1	1	cool.	7.58496
8.	.	.	.	5.58496
16	0	3	I	7.58496
8	1	.	don't	6.58496
=3	=3	=3	=3	=3
8	1	.	need	2.58496
16	1	.	your	7.58496
16	0	.	a-	6.58496
16	1	.	-ssis-	7.58496
8	0	.	-tance	5.58496
8	1	3	So-	7.58496
8	1	.	-cial	6.58496
16	0	.	per-	7.58496
16	1	.	-si-	4.58496
16	0	.	-stence	7.58496
16	1	3	An-	6.58496
16	0	.	-y	7.58496
=4	=4	=4	=4	=4
16	1	.	pro-	2.58496
16	0	.	-blem	7.58496
16	0	.	I	6.58496
8	1	.	got	7.58496
8	1	1	I	5.58496
